"uid","exprid","start_t","end_t","loc1","loc2","job_type","rank","edu_level"
1,1,27179,28093,370000,370500,1,1,2
1,2,28093,28548,370000,370500,1,1,2
1,3,28548,28762,370000,370500,1,1,2
1,4,28762,29371,370000,370500,1,1,2
1,5,29371,30893,370000,370000,1,1,2
1,6,30893,32019,370000,370000,1,2,2
1,7,30954,31957,370000,370800,5,2,3
1,8,32019,32780,370000,370000,1,3,3
1,9,32750,33784,840000,840000,5,3,4
1,10,32780,33327,370000,371600,1,3,4
1,11,33327,33846,370000,370000,1,4,4
1,12,33846,35763,370000,370000,1,4,4
1,13,34941,35763,370000,370000,5,4,5
1,14,35763,36890,370000,371400,1,4,5
1,15,36890,38775,370000,371400,2,5,5
1,16,38775,38989,370000,370600,2,5,5
1,17,38989,40632,370000,370600,1,5,5
1,18,40632,42184,520000,520000,1,6,5
1,19,40632,42184,520000,520000,1,6,5
1,20,40632,42184,520000,520000,5,6,5
2,1,25871,26418,370000,370100,4,0,2
2,2,26418,27240,370000,370000,5,0,2
2,3,27240,27666,370000,370100,4,0,2
2,4,27666,28063,370000,370100,2,1,2
2,5,28063,28579,370000,370100,2,1,2
2,6,28579,30101,370000,370100,2,1,2
2,7,30101,30558,370000,370100,1,2,2
2,8,30558,31197,840000,840000,5,2,3
2,9,31197,31866,370000,370100,1,2,3
2,10,31866,32446,370000,370100,1,2,3
2,11,32446,32931,370000,370100,1,2,3
2,12,32931,33357,370000,370100,1,2,3
2,13,33357,33907,370000,370100,1,3,3
2,14,33907,34698,370000,370100,2,3,3
2,15,34698,35763,370000,370100,1,3,3
2,16,34879,35460,370000,370000,5,3,5
2,17,35763,39140,370000,370100,1,5,5
2,18,39140,40542,370000,371400,1,5,5
2,19,40542,40967,370000,370100,4,6,5
2,20,40907,42154,370000,370000,1,6,5
2,21,40907,42154,370000,370000,1,6,5
2,22,42003,42184,370000,370000,4,6,5
3,1,26602,27605,840000,840000,3,0,2
3,2,27605,28032,410000,410100,5,0,3
3,3,28032,28885,840000,840000,3,1,3
3,4,28885,29097,370000,370700,5,1,3
3,5,29097,30496,370000,370800,5,0,4
3,6,30496,30801,370000,370800,5,2,4
3,7,30801,31957,370000,370000,1,2,4
3,8,31957,32293,370000,370000,1,3,4
3,9,32293,32597,370000,370000,2,3,4
3,10,32597,33388,370000,370000,2,3,4
3,11,33388,34119,370000,370000,2,4,4
3,12,34119,34910,370000,370000,2,5,4
3,13,34576,35610,340000,340100,5,5,5
3,14,34910,35123,370000,371400,2,5,5
3,15,35123,36890,370000,371400,2,5,5
3,16,36890,39140,370000,371400,1,5,5
3,17,39140,40876,370000,370000,2,6,5
4,1,27727,28002,370000,370300,1,1,2
4,2,28002,30558,370000,370300,1,1,2
4,3,29858,30466,370000,370000,5,1,3
4,4,30558,30740,370000,370300,1,1,3
4,5,30740,32201,370000,370300,1,2,3
4,6,32201,32903,370000,370300,1,2,3
4,7,32903,34058,370000,370300,2,2,3
4,8,33846,34149,840000,840000,5,2,3
4,9,34058,35763,370000,370300,1,3,3
4,10,34211,35063,840000,840000,5,3,5
4,11,35763,35853,370000,370300,1,4,5
4,12,35853,38137,370000,370300,4,4,5
4,13,38137,38747,370000,370300,1,4,5
4,14,38747,40542,370000,371400,2,5,5
4,15,40542,42154,370000,371400,1,5,5
4,16,40542,42154,370000,371400,4,5,5
4,17,40542,42154,370000,371400,3,5,5
4,18,42154,42184,370000,371400,1,6,5
4,19,42154,42184,370000,371400,4,6,5
4,20,42154,42184,370000,371400,3,6,5
4,21,42154,42184,370000,370000,1,6,5
4,22,42154,42184,370000,370000,1,6,5
5,1,29097,30496,370000,370000,5,0,4
5,2,30496,30740,370000,370100,4,0,4
5,3,30740,31227,370000,370100,4,0,4
5,4,31227,31592,370000,370100,1,0,4
5,5,31592,32141,370000,370100,2,1,4
5,6,32141,32962,370000,370100,2,1,4
5,7,32962,33723,370000,370100,2,2,4
5,8,33723,34119,370000,370100,2,2,4
5,9,34119,34241,370000,370100,2,3,4
5,10,34241,35215,370000,370100,2,3,4
5,11,35215,36768,370000,370100,2,3,4
5,12,35307,36768,370000,370000,5,3,5
5,13,35641,36493,370000,370100,2,3,5
5,14,36584,36768,370000,370100,1,3,5
5,15,36768,37589,370000,370100,2,3,5
5,16,37498,38806,110000,110000,5,3,6
5,17,37589,38290,370000,370100,1,3,6
5,18,38290,39171,370000,370100,1,4,6
5,19,39171,39446,370000,370100,1,5,6
5,20,39171,40542,370000,370100,1,5,6
5,21,39446,40542,370000,370100,2,5,6
5,22,40542,41304,370000,371400,2,5,6
5,23,41304,42034,370000,371300,2,5,6
5,24,42034,42093,370000,370000,2,5,6
5,25,42093,42184,370000,370000,2,5,6
6,1,25840,26328,370000,371300,5,0,2
6,2,26328,27605,370000,371300,1,0,2
6,3,27605,29554,370000,371300,1,1,2
6,4,29554,29828,370000,371300,1,1,2
6,5,29828,30496,370000,370000,5,1,4
6,6,30496,30711,370000,371300,1,1,4
6,7,30711,31136,370000,371300,1,1,4
6,8,31136,32507,370000,370000,1,2,4
6,9,32507,33907,370000,370000,1,2,4
6,10,33907,35368,370000,370000,1,3,4
6,11,34910,35368,370000,370000,1,4,4
6,12,34971,35368,370000,371400,1,4,4
6,13,35368,35763,370000,371500,1,4,4
6,14,35368,36890,370000,371500,1,4,4
6,15,35398,36098,840000,840000,5,4,5
6,16,35853,36890,370000,371500,2,5,5
6,17,36890,39140,370000,371500,1,5,5
6,18,36980,39140,370000,371500,5,5,5
6,19,39140,40900,370000,370000,2,6,5
6,20,40662,40846,370000,370000,2,6,5
6,21,40907,41972,370000,370000,2,6,5
7,1,27393,28520,130000,130500,1,0,2
7,2,28520,29950,370000,370000,5,0,4
7,3,29950,30435,840000,840000,2,0,4
7,4,30435,31807,840000,840000,2,0,4
7,5,30558,31957,370000,370000,5,0,5
7,6,31807,32476,130000,130000,5,0,5
7,7,32476,33633,370000,370200,5,0,5
7,8,33633,33846,370000,370200,5,1,5
7,9,33846,34879,610000,610100,5,0,6
7,10,34879,35276,830200,830200,5,0,6
7,11,35276,35794,840000,840000,2,1,6
7,12,35794,36676,370000,370200,2,3,6
7,13,35794,36676,370000,370200,2,3,6
7,14,36676,37255,370000,370000,2,4,6
7,15,37255,37314,370000,370000,2,5,6
7,16,37314,37345,370000,371000,2,5,6
7,17,37345,39140,370000,371000,2,5,6
7,18,39140,41332,370000,371500,1,5,6
7,19,41304,42184,370000,370000,4,6,6
8,1,27362,27544,370000,370600,1,1,2
8,2,27544,28854,370000,370600,1,1,2
8,3,27544,28854,370000,370600,1,1,2
8,4,28854,30315,370000,370600,1,1,2
8,5,30315,30924,370000,370600,1,2,2
8,6,30924,31654,370000,370600,1,3,2
8,7,30924,31654,370000,370600,1,3,2
8,8,31654,32385,370000,370600,5,3,4
8,9,32354,32841,370000,370600,2,3,4
8,10,32719,32841,370000,370600,1,3,4
8,11,32841,33968,370000,370600,2,3,4
8,12,33846,34514,310000,310000,5,3,5
8,13,33968,35215,370000,370600,1,3,5
8,14,33968,35215,370000,370600,1,3,5
8,15,35215,35763,370000,370000,2,4,5
8,16,35763,36676,370000,371500,1,4,5
8,17,35763,36890,370000,371500,1,4,5
8,18,36890,36921,370000,371500,2,5,5
8,19,36921,38989,370000,371500,2,5,5
8,20,38989,40876,370000,370500,1,5,5
8,21,40938,42184,370000,370000,4,5,5
