uid,name,gender,ethnicity,rank_2015,age,party_membership_age,rank_2005,edu_2005,gdpidx,gdpidx_1st,gdpidx_2nd,gdpidx_3rd,f2gdpidx,logltavg,gdpidx_rl,gdpidx_1st_rl,gdpidx_2nd_rl,gdpidx_3rd_rl,f2gdpidx_rl,logltavg_rl
1,孙永春,1,1,6,48.0904109589041,29.0246575342466,5,5,15.059999999999997,4.469999999999999,17.369999999999997,15.229999999999997,14.609999084472657,2.074107599258423,-0.2906652234254073,0.14258716399501375,-0.10642770894815842,-0.7075778784201145,-0.21228079608534922,-0.010596646268724105
2,雷建国,1,1,6,50.2904109589041,30.9424657534247,5,5,13.450000000000003,2.825000000000003,13.725000000000001,17.3,12.349998474121094,2.128118395805359,-0.2730622993063224,-0.807537366955059,-0.8531542266110085,1.0055070437861433,0.19645244655560806,-0.04960743158899549
3,黄胜,1,1,6,50.8438356164384,30.194520547945203,5,5,13.802499999999998,5.3999999999999995,18.9,13.899999999999997,15.049999237060547,1.8563475608825684,-0.26296334550297,0.4297319469567618,-0.2842977937391599,-0.6311273753836723,-0.23251315880375756,0.0358140523065298
4,吴翠云,0,1,6,46.8684931506849,29.191780821917803,4,5,13.150000000000002,3.575000000000003,14.5375,14.6125,12.26666514078776,2.1922126561403275,0.1877622198711357,-0.19417508829119057,0.275440523883593,0.19438495370998365,0.22391905727549333,-0.05081830919935927
5,陈先运,1,1,5,42.8657534246575,21.1013698630137,4,6,11.6,3.6000000000000036,13.566666666666668,11.066666666666668,11.199996948242188,2.383225361506144,0.7836031811482683,-0.18741108462161032,1.8516583360073844,-0.3703532088237105,1.0742954842076338,0.0018821369025556524
6,郭兆信,1,1,6,53.8739726027397,32.2767123287671,5,5,14.7125,4.599999999999999,20.199999999999996,16.885714285714286,15.449999809265137,1.7937456965446472,0.20430673046780629,-0.37701296012711993,0.2930919680115566,1.1891050617639782,-0.08886874404114901,0.0025998198327165344
7,宋远方,1,1,6,47.9534246575342,20.0191780821918,5,6,14.863636363636365,4.454545454545452,17.236363636363635,14.954545454545457,13.930000305175781,2.2053644332018765,0.0725947070498835,0.09458716425679356,0.06335051403919882,-0.551379797076882,-0.12208374680448607,-0.0033462863525942255
8,张秋波,1,1,5,51.758904109589,28.5205479452055,5,5,14.970000000000002,5.06,17.79,16.8,14.86999969482422,2.0961447238922117,-0.08479888854711742,0.03263813992881514,0.8646037197203174,0.21615563382370626,0.1758426106937552,-0.04287527828094541
9,林峰海,1,1,5,43.0356164383562,20.0191780821918,4,4,13.5,4.049999999999997,15.237499999999997,15.062500000000004,12.416666666666666,2.2050915360450745,-0.18198236579583094,0.22084148881465232,-0.27405280849478636,-0.8017106436241671,0.005400383350587168,-0.014672050620229467
10,石军,1,1,6,52.7041095890411,31.6082191780822,5,6,12.657142857142858,6.483333333333334,13.9,15.316666666666665,15.057140895298549,2.1774651493344988,-0.5976008786416223,0.08491991696172169,-2.3794160168346856,0.6261681662291548,-0.5442025201587193,0.07422426262363398
