"","uid","gender","ethnicity","highest_edu_level","rank_2015","in_office","age","party_membership_age"
"1",1,1,1,5,6,1,58.0904109589041,39.0246575342466
"2",2,1,1,5,6,1,60.2904109589041,40.9424657534247
"3",3,1,1,5,6,0,60.8438356164384,40.1945205479452
"4",4,0,1,5,6,1,56.8684931506849,39.1917808219178
"5",5,1,1,6,5,1,52.8657534246575,31.1013698630137
"6",6,1,1,5,6,1,63.8739726027397,42.2767123287671
"7",7,1,1,6,6,1,57.9534246575342,30.0191780821918
"8",8,1,1,5,5,1,61.758904109589,38.5205479452055
"9",9,1,1,4,5,1,53.0356164383562,30.0191780821918
"10",10,1,1,6,6,0,62.7041095890411,41.6082191780822
"11",11,1,1,6,6,1,49.7808219178082,30.2684931506849
"12",12,1,1,4,5,0,68.8767123287671,48.9479452054794
"13",13,1,1,5,5,1,61.041095890411,42.027397260274
"14",14,1,1,5,6,0,68.7945205479452,49.0328767123288
"15",15,1,1,3,6,1,65.7068493150685,38.9397260273973
"16",16,1,1,3,5,1,62.5369863013699,39.358904109589
"17",17,1,1,6,5,1,50.5287671232877,29.6821917808219
"18",18,0,1,5,5,1,48.2821917808219,27.0986301369863
"19",19,1,1,5,9,0,76.9671232876712,53.3698630136986
"20",20,1,1,4,9,1,68.7095890410959,41.6082191780822
"21",21,1,1,4,8,1,69.2958904109589,44.1123287671233
"22",22,1,1,5,7,1,62.5369863013699,44.6109589041096
"23",23,1,1,4,7,0,71.8794520547945,39.6082191780822
"24",24,1,1,5,7,1,62.3753424657534,38.6054794520548
"25",25,1,1,4,6,1,54.1178082191781,30.0191780821918
"26",26,1,1,5,6,0,64.7068493150685,42.2767123287671
"27",27,1,1,5,6,0,71.0465753424658,44.0301369863014
"28",28,1,1,3,5,1,61.5369863013699,40.4383561643836
"29",29,1,1,5,5,1,47.1972602739726,23.0958904109589
"30",30,1,1,4,6,0,70.5424657534247,33.0219178082192
"31",31,1,1,4,6,1,58.7013698630137,39.6082191780822
"32",32,1,1,4,6,1,58.8684931506849,30.9342465753425
"33",33,1,1,5,5,1,57.786301369863,39.5232876712329
"34",34,1,1,5,5,0,60.5369863013699,34.6027397260274
"35",35,1,1,6,5,1,43.3616438356164,22.1808219178082
"36",36,1,1,5,6,1,62.7890410958904,40.1945205479452
"37",37,1,1,5,5,1,58.4493150684931,38.6054794520548
"38",38,1,1,5,6,1,49.9479452054794,31.5178082191781
"39",39,1,1,5,5,0,61.2082191780822,38.6054794520548
"40",40,1,1,4,5,0,65.7068493150685,43.027397260274
"41",41,1,1,3,5,0,60.7041095890411,42.6082191780822
"42",42,1,1,5,5,1,49.8630136986301,28.6
"43",43,1,1,5,6,1,63.2082191780822,43.6931506849315
"44",44,1,1,3,5,0,66.5397260273973,44.441095890411
"45",45,1,1,5,5,0,63.2082191780822,43.3616438356164
"46",46,1,1,6,5,0,48.7808219178082,28.4301369863014
"47",47,1,1,5,5,1,51.5315068493151,30.1013698630137
"48",48,1,1,5,5,0,59.7890410958904,31.186301369863
"49",49,1,1,5,5,1,59.1205479452055,39.6904109589041
"50",50,1,1,5,6,0,66.4547945205479,41.6082191780822
"51",51,1,1,6,6,0,58.372602739726,30.0191780821918
"52",52,1,1,3,5,1,61.8712328767123,39.2739726027397
"53",53,1,1,5,5,1,53.6986301369863,32.9369863013699
"54",54,0,1,5,6,1,58.786301369863,39.2739726027397
"55",55,1,1,3,6,1,61.7041095890411,41.6082191780822
"56",56,1,1,5,5,0,65.4547945205479,44.5260273972603
"57",57,1,1,5,5,1,51.2,27.2657534246575
"58",58,1,1,3,5,0,65.2931506849315,42.2767123287671
"59",59,1,1,4,6,0,66.958904109589,43.5260273972603
"60",60,1,1,6,6,1,53.4465753424658,31.186301369863
"61",61,1,1,4,6,0,64.3780821917808,42.6082191780822
"62",62,1,1,5,5,1,59.7890410958904,33.6027397260274
"63",63,1,1,5,5,1,54.7835616438356,31.3534246575342
"64",64,1,1,5,6,1,62.7041095890411,43.8602739726027
"65",65,1,1,5,6,1,53.7835616438356,30.6
"66",66,1,1,5,5,1,51.1150684931507,30.3534246575342
"67",67,1,1,4,6,0,72.6301369863014,45.5260273972603
"68",68,1,1,5,6,0,65.3780821917808,42.6082191780822
"69",69,1,1,4,6,1,65.2109589041096,43.5260273972603
"70",70,1,1,6,6,1,58.5342465753425,30.6
"71",71,1,1,5,6,1,58.9534246575342,38.358904109589
"72",72,1,1,5,6,1,61.5369863013699,41.8575342465753
"73",73,1,1,6,6,1,51.1150684931507,28.2684931506849
"74",74,1,1,5,5,0,60.7890410958904,40.5232876712329
"75",75,1,1,5,6,0,68.5424657534247,49.5287671232877
"76",76,1,1,2,6,0,72.4602739726027,49.613698630137
"77",77,1,1,6,6,1,60.2082191780822,33.5178082191781
"78",78,1,1,5,5,1,52.6986301369863,30.6821917808219
"79",79,1,1,6,6,1,53.5315068493151,30.6
"80",80,1,1,5,5,1,55.7013698630137,32.3561643835616
"81",81,1,1,6,5,1,58.0383561643836,38.6876712328767
"82",82,1,1,6,5,1,51.2821917808219,26.3506849315068
"83",83,1,1,2,6,0,69.4575342465753,49.1150684931507
"84",84,1,1,3,7,0,69.7095890410959,44.5260273972603
"85",85,0,1,6,6,1,58.9534246575342,40.4383561643836
"86",86,1,1,3,5,0,69.2958904109589,49.0328767123288
"87",87,0,1,5,6,0,54.6164383561644,35.6054794520548
"88",88,1,1,5,6,1,60.8712328767123,40.7753424657534
"89",89,1,1,5,5,1,57.7013698630137,29.1013698630137
"90",90,1,1,5,5,0,63.7068493150685,45.5260273972603
"91",91,1,1,5,5,1,57.2054794520548,37.358904109589
"92",92,1,1,4,6,1,61.041095890411,41.3616438356164
"93",93,1,1,5,6,1,62.8712328767123,40.7753424657534
"94",94,1,1,4,5,0,70.9616438356164,41.8575342465753
"95",95,1,1,5,5,0,58.8684931506849,37.358904109589
"96",96,1,1,5,5,0,57.9534246575342,33.2712328767123
"97",97,1,1,6,5,1,52.0356164383562,28.9342465753425
"98",98,1,1,4,5,0,71.0465753424658,43.6109589041096
"99",99,1,1,5,5,0,63.5397260273973,30.8493150684932
"100",100,1,1,4,5,1,61.7890410958904,41.3616438356164
"101",101,1,1,6,5,0,58.372602739726,38.6054794520548
"102",102,1,1,5,5,0,52.6986301369863,33.5178082191781
"103",103,1,1,5,5,1,51.7835616438356,29.1013698630137
"104",104,1,1,6,5,1,55.786301369863,29.8493150684932
"105",105,1,1,4,6,0,70.5424657534247,NA
"106",106,1,1,4,5,0,59.8712328767123,40.5232876712329
"107",107,1,1,5,6,0,59.4520547945205,40.5232876712329
"108",108,1,1,4,6,1,59.7041095890411,40.1945205479452
"109",109,1,1,5,5,0,57.8684931506849,38.8547945205479
"110",110,1,1,5,5,0,67.9616438356164,NA
"111",111,1,1,4,6,1,52.6986301369863,23.3479452054795
"112",112,1,1,5,5,1,58.8684931506849,39.1068493150685
"113",113,1,1,5,5,1,62.7890410958904,30.8493150684932
"114",114,1,1,4,6,0,65.7917808219178,42.027397260274
