,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,217,11550,74976,450.963133640553,57471.050691244236,110105.77880184332,97859,12471218,23892954,450.963133640553,57471.050691244236,110105.77880184332,466.28702316629716,62677.637078572116,115229.22789233773,224399.05069124425,31141013.751152072,55520892.86635945,97859,12471218,23892954,101184.28402708648,13601047.24605015,25004742.45263729,48694594,6757599984,12048033752
2,185,10630,66960,475.8702702702703,61969.394594594596,115768.18918918919,88036,11464338,21417115,475.8702702702703,61969.394594594596,115768.18918918919,472.66658312339456,63984.99845502255,117485.17232351613,239042.5027027027,33437352.178378377,59310701.48648649,88036,11464338,21417115,87443.317877828,11837224.714179171,21734756.879850484,44222863,6185910153,10972479775
3,138,3523,38854,331.6159420289855,37897.81884057971,86573.23913043478,45763,5229899,11947107,331.6159420289855,37897.81884057971,86573.23913043478,422.846449475056,55699.597882899296,105671.03174580788,161913.60144927536,22793480.615942027,39794512.91304348,45763,5229899,11947107,58352.81002755772,7686544.507840103,14582602.380921487,22344077,3145500325,5491642782
4,285,24585,97662,514.2,69430.17543859649,124023.9298245614,146547,19787600,35346820,514.2,69430.17543859649,124023.9298245614,493.71915854227683,67990.15443607034,120949.57138010499,262143.12280701756,36645824.29473684,64458432.74385965,146547,19787600,35346820,140709.9601845489,19377194.014280047,34470627.84332992,74710790,10444059924,18370653332
5,191,7984,58143,388.05263157894734,45583.84210526316,100307.13684210526,73730,8660930,19058356,388.05263157894734,45583.84210526316,100307.13684210526,442.43594397483724,58700.48883061075,110853.51148078655,190931.7894736842,26774250.963157896,47191634.7,73730,8660930,19058356,84062.82935521907,11153092.877816044,21062167.181349445,36277040,5087107683,8966410593
6,436,58387,119850,541.9586206896552,80306.80689655173,125839.62988505747,235752,34933461,54740239,541.9586206896552,80306.80689655173,125839.62988505747,508.693925293341,72396.905675655,122964.92422062448,285663.3908045977,41195716.19770115,69129651.93103448,235752,34933461,54740239,221281.85750260335,31492653.968909927,53489742.03597165,124263575,17920136546,30071398590
7,481,64282,144749,567.4,94097.98541666666,131583.49583333332,272352,45167033,63160078,567.4,94097.98541666666,131583.49583333332,533.7991786368127,81125.21641233444,130207.99484403021,319079.4979166667,49349020.15208333,77569825.2875,272352,45167033,63160078,256223.60574567012,38940103.87792053,62499837.525134504,153158159,23687529673,37233516138
8,84,1545,20677,284.33734939759034,28859.807228915663,75478.421686747,23600,2395364,6264709,284.33734939759034,28859.807228915663,75478.421686747,393.3410263804799,50661.714075771284,97683.70397713383,132770.9518072289,18471451.74698795,32358576.457831327,23600,2395364,6264709,32647.30518957983,4204922.268289017,8107747.430102108,11019989,1533130495,2685761846
9,117,4442,30957,339.52991452991455,39169.8717948718,89350.76068376069,39725,4582875,10454039,339.52991452991455,39169.8717948718,89350.76068376069,434.9535992076272,58092.72585325989,108679.26827521158,167193.92307692306,23711449.350427352,41025373.56410257,39725,4582875,10454039,50889.57110729238,6796848.924831407,12715474.388199754,19561689,2774239574,4799968707
10,280,15873,87633,425.35714285714283,54399.139285714286,103699.78928571429,119100,15231759,29035941,425.35714285714283,54399.139285714286,103699.78928571429,454.5631471756222,60919.49808419038,113161.23042216305,211883.43214285714,29479926.125,52408579.03571428,119100,15231759,29035941,127277.68120917422,17057459.463573307,31685144.518205654,59327361,8254379315,14674402130
11,232,11320,72140,408.2943722943723,48877.3722943723,105226.22943722944,94316,11290673,24307259,408.2943722943723,48877.3722943723,105226.22943722944,452.4859783229998,60438.91582892737,113213.77609433729,202413.86147186148,28450940.043290045,50058326.935064934,94316,11290673,24307259,104524.26099261295,13961389.556482222,26152382.277791914,46757602,6572167150,11563473522
12,62,1287,12776,249.62295081967213,22937.377049180326,68737.80327868853,15227,1399180,4193006,249.62295081967213,22937.377049180326,68737.80327868853,393.18695593934274,48973.985697253156,99677.37980109356,114196.27868852459,15241491.754098361,28236242.836065575,15227,1399180,4193006,23984.404312299906,2987413.1275324426,6080320.167866707,6965973,929730997,1722410813
